,Unnamed: 0,appid,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate,review
0,0,105600,Terraria,2011-05-16,10500.0,2.0,2.0,Action,0.0,104.0,Open World Survival Craft,9.0,1.0,1.0,overwhelmingly positive,overwhelmingly positive,single and multi,959644.0,20894.0,34090.4,486918.0,85.9,한글패치좀 해줍시다
1,1,600000,The St Christopher's School Lockdown,2017-10-18,12500.0,6.0,6.0,Adventure,0.0,15.0,Adventure,1.0,0.0,1.0,,6 user reviews,single only,8.0,1.0,,,24.5,
2,2,600080,Unto The End,2020-12-10,26000.0,6.0,5.0,Action,0.0,11.0,Action,20.0,0.0,1.0,,mixed,single only,220.0,90.0,0.6,27.0,63.7,
3,3,600090,The Coma: Recut,2017-09-23,15500.0,6.0,2.0,Action,0.0,0.0,Adventure,11.0,0.0,1.0,very positive,very positive,single only,1234.0,224.0,4.3,410.0,,
4,4,600100,Executive Hockey,2021-11-02,10500.0,6.0,6.0,Simulation,1.0,10.0,Strategy,1.0,0.0,0.0,,7 user reviews,single only,4.0,4.0,,,30.3,
5,5,600120,Life Forge - Reborn ORPG,2017-03-17,0.0,6.0,6.0,Casual,0.0,0.0,Free to Play,1.0,0.0,0.0,,mixed,,240.0,117.0,,,,
6,6,600130,Valfaris,2019-10-11,26000.0,5.0,5.0,Action,0.0,35.0,Action,15.0,0.0,1.0,very positive,very positive,single only,1386.0,231.0,6.8,142.0,94.4,
7,7,600140,Belko VR: An Escape Room Experiment,2017-03-03,0.0,6.0,6.0,Action,0.0,0.0,Free to Play,1.0,0.0,0.0,,very positive,single only,551.0,90.0,,,,
8,8,600150,Warpaint,2017-03-18,5500.0,6.0,6.0,Casual,0.0,0.0,Indie,9.0,0.0,1.0,,mixed,single only,21.0,10.0,0.0,7.0,,
9,9,600170,Off The Record: The Art of Deception Collector's Edition,2017-03-11,10500.0,6.0,3.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,6 user reviews,single only,6.0,0.0,,,,
10,10,600180,Light Strike Array,2017-12-23,27000.0,5.0,5.0,Action,0.0,0.0,Strategy,1.0,0.0,0.0,,no user reviews,single only,0.0,1.0,0.0,5.0,,
