,appid,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
0,105600,2011-05-16,10500.0,2.0,2.0,Action,0.0,104.0,Open World Survival Craft,9.0,1.0,1.0,Overwhelmingly Positive,Overwhelmingly Positive,single and multi,954769.0,20730.0,31842.8,486918.0,85.9
1,105700,2011-07-19,1100.0,6.0,6.0,Action,0.0,13.0,Indie,1.0,0.0,0.0,Mostly Positive,,single only,78.0,51.0,,,8.2
2,105800,2012-02-03,32000.0,5.0,5.0,Action,0.0,61.0,Indie,10.0,0.0,1.0,Very Positive,,single only,596.0,150.0,,,79.8
3,106000,,,,,,,,,,,,,,,,,,,
4,107100,2011-08-17,15500.0,2.0,2.0,Action,0.0,24.0,Great Soundtrack,6.0,0.0,1.0,Very Positive,Overwhelmingly Positive,single only,33399.0,1533.0,36.1,4063.0,83.9
5,107200,2011-08-16,10500.0,6.0,6.0,Action,0.0,48.0,Space,1.0,0.0,0.0,Very Positive,,single only,2654.0,249.0,16.3,3595.0,53.8
6,107300,2011-07-14,3300.0,6.0,6.0,RPG,0.0,0.0,JRPG,1.0,0.0,0.0,Very Positive,,single only,1110.0,212.0,,,
7,107310,2011-07-14,3300.0,6.0,6.0,Indie,0.0,0.0,JRPG,1.0,0.0,0.0,Very Positive,,single only,3045.0,260.0,4.6,488.0,
8,107410,2013-09-12,36000.0,2.0,2.0,Action,0.0,120.0,Action,14.0,0.0,1.0,Very Positive,,single and multi,203543.0,21687.0,12113.2,56185.0,92.6
9,107600,2011-11-17,5500.0,5.0,5.0,Action,0.0,54.0,Bullet Hell,1.0,0.0,1.0,Overwhelmingly Positive,,single only,1020.0,61.0,,,67.7
10,108110,2012-02-17,14500.0,5.0,5.0,RPG,0.0,0.0,RPG,2.0,0.0,1.0,,,single only,45.0,92.0,,,
11,108200,2012-05-25,10500.0,2.0,2.0,Casual,0.0,83.0,Board Game,5.0,0.0,1.0,Very Positive,Very Positive,single only,3921.0,416.0,320.3,2115.0,35.8
12,108210,2011-10-13,0.0,2.0,2.0,Casual,0.0,62.0,Strategy,2.0,0.0,0.0,,,single only,348.0,191.0,8.1,57.0,18.4
13,108500,2012-03-02,9500.0,5.0,6.0,Action,0.0,20.0,Puzzle,5.0,0.0,0.0,Very Positive,,single only,630.0,82.0,,,33.9
14,108600,2013-11-08,20500.0,6.0,6.0,Indie,0.0,0.0,Survival,17.0,0.0,0.0,Very Positive,Very Positive,single and multi,96041.0,8089.0,15930.9,65379.0,
15,108700,2012-08-04,10500.0,2.0,2.0,Action,0.0,87.0,Racing,1.0,0.0,0.0,Mostly Positive,,single only,487.0,199.0,,,48.9
16,108710,2012-02-17,15500.0,2.0,2.0,Action,0.0,67.0,Action,11.0,0.0,1.0,Very Positive,Very Positive,single only,33345.0,3329.0,66.9,6612.0,83.3
17,108800,2011-03-23,33000.0,1.0,1.0,Action,0.0,0.0,Action,11.0,0.0,0.0,Very Positive,Very Positive,single only,10661.0,1912.0,48.7,3885.0,
