,appid,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
0,105600,Terraria,2011-05-16,10500.0,2.0,2.0,Action,0.0,104.0,Open World Survival Craft,9.0,1.0,1.0,overwhelmingly positive,overwhelmingly positive,single and multi,959644.0,20894.0,34090.4,486918.0,85.9
1,600000,The St Christopher's School Lockdown,2017-10-18,12500.0,6.0,6.0,Adventure,0.0,15.0,Adventure,1.0,0.0,1.0,,6 user reviews,single only,8.0,1.0,,,24.5
2,600080,Unto The End,2020-12-10,26000.0,6.0,5.0,Action,0.0,11.0,Action,20.0,0.0,1.0,,mixed,single only,220.0,90.0,0.6,27.0,63.7
3,600090,The Coma: Recut,2017-09-23,15500.0,6.0,2.0,Action,0.0,0.0,Adventure,11.0,0.0,1.0,very positive,very positive,single only,1234.0,224.0,4.3,410.0,
4,600100,Executive Hockey,2021-11-02,10500.0,6.0,6.0,Simulation,1.0,10.0,Strategy,1.0,0.0,0.0,,7 user reviews,single only,4.0,4.0,,,30.3
5,600120,Life Forge - Reborn ORPG,2017-03-17,0.0,6.0,6.0,Casual,0.0,0.0,Free to Play,1.0,0.0,0.0,,mixed,,240.0,117.0,,,
6,600130,Valfaris,2019-10-11,26000.0,5.0,5.0,Action,0.0,35.0,Action,15.0,0.0,1.0,very positive,very positive,single only,1386.0,231.0,6.8,142.0,94.4
7,600140,Belko VR: An Escape Room Experiment,2017-03-03,0.0,6.0,6.0,Action,0.0,0.0,Free to Play,1.0,0.0,0.0,,very positive,single only,551.0,90.0,,,
8,600150,Warpaint,2017-03-18,5500.0,6.0,6.0,Casual,0.0,0.0,Indie,9.0,0.0,1.0,,mixed,single only,21.0,10.0,0.0,7.0,
9,600170,Off The Record: The Art of Deception Collector's Edition,2017-03-11,10500.0,6.0,3.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,6 user reviews,single only,6.0,0.0,,,
10,600180,Light Strike Array,2017-12-23,27000.0,5.0,5.0,Action,0.0,0.0,Strategy,1.0,0.0,0.0,,no user reviews,single only,0.0,1.0,0.0,5.0,
11,600190,Ski Jump VR,2017-06-09,5500.0,6.0,6.0,Sports,0.0,17.0,Sports,1.0,0.0,0.0,,mixed,single only,10.0,6.0,,,51.3
12,600200,Smintheus,2021-11-12,15500.0,6.0,6.0,Action,0.0,51.0,Indie,1.0,0.0,0.0,,4 user reviews,single only,4.0,1.0,0.2,1.0,34.2
13,600210,RoboMatch,2017-03-06,3300.0,5.0,5.0,Casual,0.0,12.0,Indie,5.0,0.0,0.0,,mixed,single only,30.0,23.0,,,2.3
14,600230,Epsilon Jump Prime,2017-10-21,4500.0,6.0,6.0,Action,0.0,14.0,Action,1.0,0.0,0.0,,no user reviews,single only,2.0,0.0,,,27.9
15,600250,Art of Guile,2017-08-11,5500.0,5.0,5.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,positive,single and multi,30.0,9.0,,,
16,600260,Jungle Dino VR,2016-06-24,10500.0,6.0,6.0,Adventure,0.0,0.0,Adventure,1.0,0.0,0.0,,1 user reviews,single only,0.0,1.0,,,
17,600280,Supreme Ruler The Great War,2017-08-02,21000.0,5.0,5.0,Indie,0.0,20.0,Strategy,4.0,0.0,0.0,,mixed,single only,68.0,39.0,,,4.4
18,600290,The Forgotten Void,2018-05-09,8500.0,5.0,5.0,Adventure,0.0,17.0,Adventure,1.0,0.0,0.0,,no user reviews,single only,4.0,2.0,,,5.8
19,600310,Rogue'n Roll,2017-02-27,5500.0,6.0,6.0,Action,0.0,22.0,Action Roguelike,1.0,0.0,0.0,,5 user reviews,single only,25.0,9.0,0.0,1390.0,5.8
20,600330,CONTRACTED,2017-03-11,2200.0,6.0,6.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,9 user reviews,single only,13.0,6.0,0.0,151.0,
21,600350,VectorWars VR,2017-05-02,3300.0,5.0,5.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,4 user reviews,single only,5.0,3.0,1.7,12.0,
22,600370,Paradigm,2017-04-06,16000.0,6.0,6.0,Adventure,0.0,18.0,Adventure,1.0,0.0,1.0,,overwhelmingly positive,single only,1299.0,76.0,2.8,181.0,51.2
23,600410,HERO-E,2017-03-08,0.0,6.0,6.0,Action,0.0,15.0,Free to Play,6.0,0.0,0.0,,mostly positive,single only,26.0,9.0,0.0,5.0,25.2
24,600420,Mob Rule Classic,1999-09-08,6500.0,6.0,6.0,Simulation,0.0,0.0,Simulation,1.0,0.0,0.0,,very positive,single only,154.0,38.0,3.2,112.0,
25,600430,Ticket to Ride: First Journey,2017-09-27,5500.0,6.0,2.0,Casual,0.0,9.0,Casual,6.0,0.0,0.0,,positive,single only,183.0,95.0,1.7,189.0,24.1
26,600440,Cyber Complex,2017-08-04,10500.0,5.0,5.0,Action,0.0,21.0,Action,3.0,0.0,0.0,,1 user reviews,single and multi,3.0,1.0,,,6.8
27,600460,Dustwind,2018-08-16,26000.0,5.0,5.0,Action,0.0,29.0,Post-apocalyptic,11.0,0.0,0.0,,mostly positive,single and multi,239.0,79.0,1.6,130.0,70.7
