,Unnamed: 0,appid,is_top_seller,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate,review
0,0,48700,1,Mount & Blade: Warband,2010-03-31,20000.0,2,2,Action,0,80,Medieval,10,0,1,overwhelmingly positive,overwhelmingly positive,single only,139965,3221,4681.5,32799.0,53.3,"아직 평가를 작성할 만큼 오래 해보지 않아서 좋은 게임인지 잘 모르겠습니다.

조금만 더 플레이해봐야겠네요."
1,1,646570,1,Slay the Spire,2019-01-24,26000.0,3,3,Indie,0,46,Roguelike Deckbuilder,17,0,1,overwhelmingly positive,overwhelmingly positive,single only,112417,2427,10190.1,32937.0,90.8,"EARLY ACCESS REVIEW
친구가... 없어도... 할수있어서... 잼서요..."
2,2,588650,1,Dead Cells,2018-08-07,25800.0,2,2,Action,0,108,Roguelite,13,0,1,overwhelmingly positive,overwhelmingly positive,single only,106363,3210,3071.2,13651.0,93.3,"Product received for free

EARLY ACCESS REVIEW
DeadCells 공식 번역가입니다.
게임이 너무 재밌습니다.
하십시오. 구매하십시오.

12/10"
3,3,526870,1,Satisfactory,2020-06-09,31000.0,2,2,Adventure,0,0,Base Building,21,0,0,overwhelmingly positive,overwhelmingly positive,single and multi,97748,2832,13029.0,34145.0,,"EARLY ACCESS REVIEW
지난 2주동안 285.0 시간 / 기록상 305.6 시간
이 공장 근로기준법 위반으로 신고합니다."
4,4,433340,1,Slime Rancher,2017-08-02,21000.0,2,2,Action,0,57,Cute,10,0,1,overwhelmingly positive,overwhelmingly positive,single only,90602,1970,1892.6,7189.0,83.4,"EARLY ACCESS REVIEW
빨리...빨리 멀티.. 멀티를 지원해 줘라 !!!!!!"
5,5,3590,1,Plants vs. Zombies GOTY Edition,2009-05-06,5000.0,2,2,Strategy,0,21,Tower Defense,1,0,0,overwhelmingly positive,overwhelmingly positive,single only,81224,2371,3517.5,13028.0,82.5,"Fatal Error 버그 해결방법입니다.

윈도우 10 기준입니다.
1. 검색에서 실행을 검색합니다.
2. "" regedit ""를 입력한후 확인을 누릅니다
3. 레지스트리 편집기가 나올텐데 여기서 ""예""를 누릅니다
4. HKEY_CURRENT_USER → Software → SteamPopCap
→ Plants vs. Zombies GOTY Edition → ScreenMode(이게 있을경우 값을 ""0""으로 바꿔줍니다.)
5. ""ScreenMode""가 없을 경우 오른쪽마우스 클릭후 새로 만들기를 누릅니다
DWORD(32비트) 값(D)을 누릅니다. ""새 값 #1""로 되어있는것을 오른쪽마우스 클릭하여
이름바꾸기를 누른뒤 ""ScreenMode""로 바꿉니다. 그리고 값을 0으로 바꿔줍니다
6. 레지스트리 편집기를 종료후에 실행을 합니다.
정상적으로 시작이 되는것을 보실수 있습니다.

*!!주의 할점!!*
창모드만 지원합니다.
Alt + Enter를 눌러 전체화면으로 하려고 할시에 ""Fatal Error""가 다시 생깁니다.

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

추가 수정합니다.

이 설정은 한번만 하시면됩니다.
한번 설정해 놓으면 컴퓨터를 껐다가 다시켜도 에러가 생기지 않습니다."
6,6,883710,1,Resident Evil 2,2019-01-25,45600.0,1,1,Action,0,44,Zombies,14,0,1,overwhelmingly positive,overwhelmingly positive,single only,107386,3171,1443.0,74024.0,94.7,
7,7,1092790,1,Inscryption,2021-10-20,22000.0,2,1,Adventure,0,40,Card Battler,12,0,1,overwhelmingly positive,overwhelmingly positive,single only,71523,2107,2003.1,17044.0,96.1,"역시 보드게임은 진행자의 현실감 넘치는 상황극이 재미를 결정하는군
혼신적인 연기 덕분에 즐거웠습니다."
8,8,1366540,1,Dyson Sphere Program,2021-01-21,20500.0,5,2,Indie,1,100,Space,2,0,1,overwhelmingly positive,overwhelmingly positive,single only,62235,1426,3952.3,59339.0,37.0,"EARLY ACCESS REVIEW
이 게임 덕분에 에너지와 철강기업의 중요성을 깨닫고 이에 투자하여 2주간 약 30%의 이익을 실현하였습니다."
9,9,504230,1,Celeste,2018-01-25,21000.0,6,6,Action,0,32,Precision Platformer,9,0,1,overwhelmingly positive,overwhelmingly positive,single only,54889,1247,1364.2,2216.0,74.8,갓겜
