,appid,is_top_seller,title,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate
0,48700,1,Mount & Blade: Warband,2010-03-31,20000.0,2,2,Action,0,80,Medieval,10,0,1,overwhelmingly positive,overwhelmingly positive,single only,139965,3221,4681.5,32799.0,53.3
1,646570,1,Slay the Spire,2019-01-24,26000.0,3,3,Indie,0,46,Roguelike Deckbuilder,17,0,1,overwhelmingly positive,overwhelmingly positive,single only,112417,2427,10190.1,32937.0,90.8
2,588650,1,Dead Cells,2018-08-07,25800.0,2,2,Action,0,108,Roguelite,13,0,1,overwhelmingly positive,overwhelmingly positive,single only,106363,3210,3071.2,13651.0,93.3
3,526870,1,Satisfactory,2020-06-09,31000.0,2,2,Adventure,0,0,Base Building,21,0,0,overwhelmingly positive,overwhelmingly positive,single and multi,97748,2832,13029.0,34145.0,
4,433340,1,Slime Rancher,2017-08-02,21000.0,2,2,Action,0,57,Cute,10,0,1,overwhelmingly positive,overwhelmingly positive,single only,90602,1970,1892.6,7189.0,83.4
5,3590,1,Plants vs. Zombies GOTY Edition,2009-05-06,5000.0,2,2,Strategy,0,21,Tower Defense,1,0,0,overwhelmingly positive,overwhelmingly positive,single only,81224,2371,3517.5,13028.0,82.5
6,883710,1,Resident Evil 2,2019-01-25,45600.0,1,1,Action,0,44,Zombies,14,0,1,overwhelmingly positive,overwhelmingly positive,single only,107386,3171,1443.0,74024.0,94.7
7,1092790,1,Inscryption,2021-10-20,22000.0,2,1,Adventure,0,40,Card Battler,12,0,1,overwhelmingly positive,overwhelmingly positive,single only,71523,2107,2003.1,17044.0,96.1
8,1366540,1,Dyson Sphere Program,2021-01-21,20500.0,5,2,Indie,1,100,Space,2,0,1,overwhelmingly positive,overwhelmingly positive,single only,62235,1426,3952.3,59339.0,37.0
9,504230,1,Celeste,2018-01-25,21000.0,6,6,Action,0,32,Precision Platformer,9,0,1,overwhelmingly positive,overwhelmingly positive,single only,54889,1247,1364.2,2216.0,74.8
10,205100,1,Dishonored,2012-10-10,11530.0,2,1,Action,0,80,Stealth,5,0,1,overwhelmingly positive,overwhelmingly positive,single only,66241,1693,601.9,19930.0,84.8
11,238460,1,BattleBlock Theater®,2014-05-16,15500.0,2,2,Action,0,30,Comedy,11,0,0,overwhelmingly positive,overwhelmingly positive,single and multi,63906,1802,328.7,14269.0,86.9
12,1113000,1,Persona 4 Golden,2020-06-14,19800.0,2,1,RPG,0,50,JRPG,4,0,0,very positive,overwhelmingly positive,single only,54753,1587,1916.8,29984.0,77.0
13,636480,1,Ravenfield,2017-05-19,16000.0,3,3,Action,0,0,FPS,1,0,0,overwhelmingly positive,overwhelmingly positive,single only,49412,1500,1201.8,3927.0,
