,appid,releaseDate,price,developer tier,publisher tier,genre,early access,achievement,tag,languages,steam award,DLC,recent positive,all positive,single or multi,positive review,negative review,recent player,peek player,most achieved rate,review
0,105600,2011-05-16,10500.0,2.0,2.0,Action,0.0,104.0,Open World Survival Craft,9.0,1.0,1.0,Overwhelmingly Positive,Overwhelmingly Positive,single and multi,954769.0,20730.0,31842.8,486918.0,85.9,한글패치좀 해줍시다
1,105700,2011-07-19,1100.0,6.0,6.0,Action,0.0,13.0,Indie,1.0,0.0,0.0,Mostly Positive,,single only,78.0,51.0,,,8.2,나만 안되냐?
2,105800,2012-02-03,32000.0,5.0,5.0,Action,0.0,61.0,Indie,10.0,0.0,1.0,Very Positive,,single only,596.0,150.0,,,79.8,"Pretty, Peaceful, Beautiful, But Bright Game.

예쁘고 평화롭고 아름답지만 뭔가 환한 게임 ㅎㅎ"
3,106000,,,,,,,,,,,,,,,,,,,,
4,107100,2011-08-17,15500.0,2.0,2.0,Action,0.0,24.0,Great Soundtrack,6.0,0.0,1.0,Very Positive,Overwhelmingly Positive,single only,33399.0,1533.0,36.1,4063.0,83.9,"구매를 고민하는 사람들을 위한 기나긴 리뷰글 By Capo4Fret

- 주의 : 스크롤이 깁니다.

-------------------------------------------------------------

< 사전 정보 >
- 구매 및 진입시점 :
2018년 2월 세일 중 약 5천원 내 가격으로 구매했습니다.

- 게임의 주 내용 요약 :
대격변으로 산산조각이 난 세계에서 전직군인 출신 생존자인
주인공 Kid가 몬스터를 무찌르고 흩어진 Shard(조각)들을 모아
Bastion(요새)를 소생시키는 과정을 그려낸 액션 RPG 게임입니다.

무기를 획득하고 포인트를 모아 업그레이드하며, 알맞는 무기와
패시브를 선택하여 스테이지에 진입하는 방식으로 진행됩니다.
키보드로 움직임과 회피 등을 컨트롤 해가며 무기를 이용해
적을 물리치는 것이 주 플레이요소입니다.

스테이지는 크게 몬스터를 사냥하고 스토리를 진행시키는
메인스테이지와, 무기의 사용 능숙도에 따라 미션을 클리어하고
메달과 보상을 받는 연습 스테이지, 디펜스게임처럼 단계별로
적이 구성되어 모든 단계를 클리어하도록 유도하는 서바이벌
스테이지로 나뉘어져 있습니다.

스토리형 진행방식이기에 마지막 스테이지를 클리어하면 사실상
종료되며, 마지막 스테이지 이전 시점에 저장된 정보로 업적
플레이를 할 수 있습니다. 재밌는 점은 나름의 분기를 갖추고
있어, 적게라도 행동에 대한 선택지를 주기도 하고,
멀티엔딩도 갖추고 있다는 점입니다.

스토리텔링은 아주 적은 부분을 제외하고는 모두 NPC Rucks의
나레이션을 통해 전달됩니다. 모건 프리먼과 비슷한 톤의 중년
성우가 게임 내내 나레이션을 통해 스토리를
전달한다 생각하시면 됩니다.


- 진행도 및 플레이시간 :
모든 무기의 업그레이드를 완료하고 모든 연습스테이지에서
금메달을 땄으며, Memorial의 모든 업적(Steam 도전과제가 아닌
게임 내 업적)을 완료하고 게임을 클리어했습니다.
따로 도전과제 트라이는 하지 않았습니다.
이 1회차 완료에 10시간 정도 소모했습니다.

-------------------------------------------------------------

< 선요약 >

- 이 게임에 적합한 사람 :
1. 테일즈위버, 라그나로크, 트리 오브 세이비어와 같은,
일명 2.5D풍 그래픽을 좋아하는 사람

2. 너무 어렵지도 쉽지도 않은 적당한 수준의 컨트롤이 필요한
액션 게임을 좋아하는 사람

3. 게임의 BGM을 하나하나 집중해서 듣는 사람


- 이 게임에 부적합한 사람 :
1. 영어 나레이션에 알러지가 있는 사람 (특히, 중년 목소리)

2. 캐릭터의 장비를 바꿔가며 외형을
커스터마이징하길 좋아하는 사람

3. 마을들을 돌아다니며 탐험하고, 다양한 캐릭터와 관계를 맺는
RPG게임을 원하는 사람


< 개인적인 총평점 >

★★★★★★★★☆☆ 8/10

- 출시된지 7년 가까이 된 인디게임임에도 불구하고 특유의
아기자기한 2.5D형 그래픽과 BGM을 통해 분위기를 굉장히 잘 잡아
촌스러운 느낌이 전혀 없으며, 군더더기 없는 인터페이스
(조작방식/게임요소)가 인디게임의 작은 볼륨을 잘 커버해줍니다.

- 다만 연식(?)이 있는 인디게임인만큼 세일 폭이 커서
(최대 75%) 정가로 사지 마시고, 담아두셨다가 세일기간에
구매하시면 좋을 것 같습니다.
세일가로는 무심코 사셔도 후회없을 만한
가성비를 갖춘 게임입니다.

-------------------------------------------------------------

< 게임을 하며 좋았던 점 >

1. 개성있는 2.5D형 그래픽
필자는 해당 RPG게임들 특유의 스킬, 스테이터스 시스템이 싫어
테일즈위버나 라그나로크를 플레이해보진 않았지만, 항상
플레이를 해볼까 하고 망설이게 만든 것이 바로 2.5D풍의
아기자기한 그래픽이었습니다. ( 2.5D형 그래픽 - 실제로는 x,y
축만을 가지는 2D 게임이나, 복셀형 그래픽으로 3차원의
공간감을 주는 게임 )
Bastion은 특유의 색감과 텍스쳐들로 이 2.5D 그래픽을
구성해놓았는데, 출시된 지 7년이 다된 게임이지만 지금
플레이해봐도 촌스럽거나 위화감 있는 구석을 찾기 힘듭니다.
다만 처음 Bastion 플레이를 시작할 때 필자가 그랬듯 주인공
캐릭터의 그래픽에서 약간 투박한 느낌을 받을 수도 있지만,
게임을 하다보면 아기자기한 적들과 배경 그래픽에 매료되어,
또 컨트롤에 집중하게 되어 주인공의 생김새는
크게 눈에 들어오지 않습니다.

2. 귀가 즐거운 사운드트랙
필자는 Bastion 을 한차례 플레이하고 아직 다시 플레이하진
않았지만, OST만은 따로 찾아서 간간히 듣고 있습니다.
액션게임다우면서도 방랑자의 모험 분위기를 담은듯한
특유의 비트와 악기소리가 굉장히 매력적입니다.
혹시 궁금하신 분들을 위해 제가 Bastion OST 중 특히 좋아하는
두곡 정도를 아래에 링크해 놓습니다.

(1) Terminal March :

(2) Brusher Patrol :


3. 군더더기 없는 인터페이스
Bastion은 위에 써놓은 2.5D형 게임들에서 스킬트리/스탯 등의
부가적인 요소를 기름기를 빼듯이 쪽 빼고 '액션'만 남겨
놓았습니다. 무기 마다 특유의 스킬들이 있긴 하지만, 이는
전투에서 어떤 타입의 무기를 쓰고 싶은지에 대한 선택권을
줄 뿐, 스킬 사용에 있어 복잡한 커맨드나 여러 키를 활용하게
만들지 않으며, 굉장히 직관적입니다. 게임 중 움직임과 무기
사용을 제외하고 활용하는 키는 회피/스킬사용/체력*에너지
회복약 정도 뿐입니다.
게임 내 요소에 있어서도 주인공의 모든 준비활동은
Bastion에서만 이루어지며, 따로 특정 아이템을 위해 마을을
돌아다니거나 NPC를 찾아다닐 필요가 없습니다.
그저 Bastion 내에 위치한 몇 건물 내에서 스킬/무기/특성
세팅을 하는 것이 전투 준비의 전부입니다.

4. 적절한 레벨 디자인
Bastion의 플레이는 쉽게쉽게 클리어하고 싶은 플레이어에겐
쉽게, 도전과제나 업적 등을 클리어하며 하드하게 플레이하는
플레이어에겐 충분히 어렵게 다가옵니다. 스테이지의 난이도는
플레이어가 충분히 차근차근 숙달될 수 있을 정도로 단계별로
잘 나누어 놓아, 처음 시작하는 사람도 마음만 먹으면
게임오버 한번없이 클리어 할 수 있을 정도지만,
플레이어로 하여금 스스로 굉장히 재밌게 컨트롤하고
있다고 느낄 정도의 난이도 디자인을 해놓았습니다.


< 게임을 하며 이상했던/별로였던 점 >

1. 일방적이고 일관적인 스토리 전달
Bastion의 세계관은 꽤 매력적입니다. 하지만 플레이어로
하여금 이를 직접 탐험하여 세세한 부분을 느끼고 생각하게
만드는 여지를 거의 제공하지 않습니다.
게임 내엔 Bastion 외엔 마을도 없고, Bastion 내에 멀뚱히
서있는 몇 NPC 외엔 대화가 가능한 NPC도 없습니다. 볼륨이 작은
인디게임의 어쩔 수 없는 단점이겠지만, 필자는 무엇보다도 모든
배경스토리 설명을 나레이션으로 일관한다는 게 가장
아쉬웠습니다. 전체적인 세계관의 배경부터 현재 플레이어가
탐험하고 있는 스테이지에 관련한 이야기들까지 모두 나레이션을
통해 들어야하는데, 게임 내내 이 중년 남자의 허스키한 목소리를
듣다보면 좀 질리는 감이 없잖아있습니다.

2. 잦은 추락
게임 자체의 매력을 떨어뜨리는 중대한 문제는 아니나, 굳이
게임 중 아쉬웠던 부분을 말하자면 바로 추락 판정이 너무
엄하다는 것입니다.
개발진은 이 게임의 안전지대가 없는 맵 디자인이 나름 게임의
난이도를 조정하는 하나의 요소라고 생각하고 만든 듯 하지만..
다른 평들을 보면 알 수 있듯이 이 게임에서 은근히 가장
플레이어를 귀찮게 만드는 것이 바로 맵에서의 추락입니다.
혹시 알고계실지 모르겠지만 Bastion의 맵 디자인은
'디아블로2'의 아케인 생츄어리를 생각나게 합니다.
필자는 난간이 보이지 않는 그 맵을 캐릭터가 돌아다니다
혹시 떨어져 죽지는 않을까 하는 상상을 간혹 하곤 했습니다..
아케인 생츄어리에선 다행히 캐릭터가 발판 밖으로 나가지
못하게 처리되어 있어 그런 불상사는 없었지만, Bastion에선
그게 가능합니다.. 물론 즉사는 아니고 체력이 %로 깎이는
정도지만, 캐릭터의 움직임이나 진행 루트에 있어 너무
얄궂게 설계된 지형이 많습니다. 전투에서 회피 중 추락은
말이 필요없이 잦고, 캐릭터의 움직임 방향이 묘하게 지형과
일치하지 않는 편이라 좁은 길목에서도 자주 떨어지게 됩니다.
더군다나 가끔은 Bastion 특유의 그래픽과 맞물려, 반대편으로
건너갈 수 있게 만든 발판이라고 생각해서 올라가면 추락하는
경우도 있습니다.


< 기타 - 참고할만한 점 >

1. 영어
말씀드렸듯 Bastion의 모든 세계관과 상황, 비하인드
에피소드들은 나레이션이 대신 전달해줍니다.
문제는 한글 번역이 되어있지 않아서, 가뜩이나 스토리
전달요소가 부족한 게임이라 영어를 못알아들으면 게임을
거의 반밖에 즐기질 못합니다.
(게임 진행에 큰 지장은 없습니다)
한글패치가 따로 있는지는 모르겠네요.
영어에 알러지가 있는 분들은 한글패치를 찾아보시거나,
아니면 게임이 끝나고 스토리 리뷰들을
참고하시거나 하는게 좋으실 것 같습니다.

-------------------------------------------------------------

이상 리뷰 마칩니다."
5,107200,2011-08-16,10500.0,6.0,6.0,Action,0.0,48.0,Space,1.0,0.0,0.0,Very Positive,,single only,2654.0,249.0,16.3,3595.0,53.8,"기술적 인 아케이드 플레이와 전략의 조합에 환상적인 게임입니다.
기술 진보, 자원 관리 효과적인 관리가 간단합니다."
6,107300,2011-07-14,3300.0,6.0,6.0,RPG,0.0,0.0,JRPG,1.0,0.0,0.0,Very Positive,,single only,1110.0,212.0,,,,"웃음과 감동이 있는 고전풍 롤 플레잉 게임

+ 독특한 캐릭터와 유머있는 대사
+ 인카운터에 제한을 둔 시스템
+ 좋은 배경 음악

- 취향이 갈리는 게임 스타일

리뷰 점수: 7/10"
7,107310,2011-07-14,3300.0,6.0,6.0,Indie,0.0,0.0,JRPG,1.0,0.0,0.0,Very Positive,,single only,3045.0,260.0,4.6,488.0,,"RPG를 재밌게 뒤집은 작품. 크틀루와 일행들의 입담을 감상하는것도 게임의 큰 재미중 하나이다
그러나 난이도가 있는 게임이고 긴 플탐을 지니고 있으니 각오는 하는것이 좋다."
8,107410,2013-09-12,36000.0,2.0,2.0,Action,0.0,120.0,Action,14.0,0.0,1.0,Very Positive,,single and multi,203543.0,21687.0,12113.2,56185.0,92.6,절대 사지마세요 한국서버 다 망해서 사라짐 그리고 ㅈ목 ㅈㄴ 많음 잼민이들 들어와서 지들이 특수부대인 마냥 존나 무전으로 롸져뎃 이 ㅈㄹ 하면서 하는거 보고싶으면 사도되고
9,107600,2011-11-17,5500.0,5.0,5.0,Action,0.0,54.0,Bullet Hell,1.0,0.0,1.0,Overwhelmingly Positive,,single only,1020.0,61.0,,,67.7,"부담되지 않는 가격, 2011년에 나왔다고는 조금 믿기지 않는 멋진 그래픽.

게임 플레이 자체도 플레이를 해볼수록 빠져들게 되는 경향이 있었던 것 같습니다.

아직 그리 많은 플레이를 해보지는 않았지만, 개인적으로 두고두고 하기에

정말 좋은 게임인 것 같습니다. 아케이드 / 슈팅 게임 좋아하시는 분들께 추천해드려요."
10,108110,2012-02-17,14500.0,5.0,5.0,RPG,0.0,0.0,RPG,2.0,0.0,1.0,,,single only,45.0,92.0,,,,"현재로서는 윈도10에서는 튜토리얼밖에 안 됩니다.
메인 시나리오는 튕깁니다.

...돈주고 데모 산 기분이네요. 주의하세요."
11,108200,2012-05-25,10500.0,2.0,2.0,Casual,0.0,83.0,Board Game,5.0,0.0,1.0,Very Positive,Very Positive,single only,3921.0,416.0,320.3,2115.0,35.8,"예전에 모바일게임으로 짬짬히 즐기기에는 재밌는게임인데
각잡고 하기에는 너무 간단한 보드게임이네요

그렘린 주식회사와 함께 2연속으로 즐겼는데 친구들과 하기에도 그렘린이 훨씬낫습니다

포터블로 즐기시는분들은 간단한 방식의 보드게임이라 추천드립니다."
12,108210,2011-10-13,0.0,2.0,2.0,Casual,0.0,62.0,Strategy,2.0,0.0,0.0,,,single only,348.0,191.0,8.1,57.0,18.4,"WW2 보드게임의 정석을 보여주는듯 합니다. 아마 스팀에서 유일한 WW2 정통보드게임이라 생각됩니다. 실제 보드게임을 포팅해놓았기 때문에, 보드게임 마니아라면 게임성과 희소성 측면에서 매우 만족할만 합니다. (게임자체로만 보면)

옥의 티는 과금 플레이(Pay 2 Play) 시스템의 문제입니다.

처음 게임을 시작하게 되면 금괴(Gold Ingot)라는 개념의 화폐가 50단위 지급됩니다.
카지노에 빗대면 이 금괴가 바로 칩입니다. 카지노에서 칩없으면 집에 가야하듯,
게임을 진행하기 위해서는 맵마다 2~3개의 금괴가 필요합니다.
물론! 금괴가 필요없는 맵도 있습니다...... 3개요. (44개 중)
또 물론! 금괴는 과금으로 충천할 수 있습니다.

산술적으로 30$ 지르면 400~500판(금괴 불필요 맵에서) 을 할 수 있고,
플레이 시간으로 환산하면 대략 166여 시간(한 판을 20분으로) 즐길 수 있습니다.
그리고 30$ 짜리 옵션에는 전문가 모드(Expert Mode)가 해금됩니다. (맵 수정과 제작이 가능)



보드게임 좋아하시는 분들은 한 번 쯤은 플레이 해보셔도 나쁠 거 없습니다. 무과금으로 처음 시작해서 최소 16.3판에서 ∞판 정도 플레이 하실 수 있습니다. (공짜맵 계속할 수도 있으니까요.) 그렇지만 제가 이 게임에 대해 가지는 경향은 단지 부정보다 긍적에 조금 더 가까울 분입니다. 적어도 30$를 지르지 않으면 게임의 모든 컨텐츠를 즐길 수 없으니까요."
13,108500,2012-03-02,9500.0,5.0,6.0,Action,0.0,20.0,Puzzle,5.0,0.0,0.0,Very Positive,,single only,630.0,82.0,,,33.9,"스팀펑크 분위기의 배경에
액체를 이용해서 퍼즐놀이 하는 어드벤쳐 게임

액체 표현이랑 물리효과가 훌륭한편

퍼즐에 컨트롤도 어느정도 요구되서 손발이 자유자재로 안움직이는분들은
한 20분 하다가 현자타임올듯"
14,108600,2013-11-08,20500.0,6.0,6.0,Indie,0.0,0.0,Survival,17.0,0.0,0.0,Very Positive,Very Positive,single and multi,96041.0,8089.0,15930.9,65379.0,,"EARLY ACCESS REVIEW
게임시작전 가장 중요한 정보를 알려드리겠습니다.

1. 아래사진 처럼 게임버젼을 41버젼으로 변경을 하시면 됩니다. (라이브러리> 왼쪽 게임목록에서 해당게임 오른쪽 클릭> 속성)

( 이유는 기존버젼보다 베타41버젼에서 게임 캐릭터 모션이 좋아졌습니다.
또한 앞으로 사용하려는 모드들이 41베타에 적용이 되어 있으며 현재버젼에서 모드적용시 튕기는 현상이 있습니다.)

2. 위 사진처럼 좀보이드 버젼을 바꾸셨다면 좀보이드 창작마당에서 아래사진에 나와있는 기본적인 모드들을 구독하여 적용하시면 됩니다.

(템플릿 모드는 대구광역시 모드를 구독하면서 같이 설치된 것 같습니다.)

3. 위 모드들을 적용하였으면 아래사진처럼 좀보이드 메인메뉴가 바뀌게 됩니다. 그리고 게임을 즐기시면 됩니다."
15,108700,2012-08-04,10500.0,2.0,2.0,Action,0.0,87.0,Racing,1.0,0.0,0.0,Mostly Positive,,single only,487.0,199.0,,,48.9,"스마트폰용으로 수백시간을 했는데 pc용도 여전히 재밌네요
간단한 레이싱슈팅게임 좋아하시면 구입추천 dg에서 2천원!"
16,108710,2012-02-17,15500.0,2.0,2.0,Action,0.0,67.0,Action,11.0,0.0,1.0,Very Positive,Very Positive,single only,33345.0,3329.0,66.9,6612.0,83.3,이과만 세상 구하냐? 문과도 할 수 있다
17,108800,2011-03-23,33000.0,1.0,1.0,Action,0.0,0.0,Action,11.0,0.0,0.0,Very Positive,Very Positive,single only,10661.0,1912.0,48.7,3885.0,,They call me Prophet.
18,109200,2011-07-27,10500.0,6.0,6.0,Casual,0.0,0.0,Indie,1.0,0.0,0.0,Mostly Positive,,single only,89.0,27.0,,,,아무래도 같은것을 계속 반복하니까 지루합니다.
19,109500,2012-03-22,5500.0,6.0,6.0,Action,0.0,0.0,Action,1.0,0.0,0.0,,,single only,106.0,74.0,,,,
20,109600,2013-12-06,0.0,2.0,6.0,Action,0.0,0.0,Free to Play,5.0,0.0,0.0,Mostly Positive,Mostly Positive,single and multi,26879.0,7781.0,901.9,14822.0,,"한국인 길드 만들었습니다.
현재 인원 4명 이고. 모두 초보이며 헤딩으로 게임을 만들었습니다.

길드
Kor_Arirang

정말 재밌게 하고 있습니다
한국어가 없다는게 너무너무 아쉬울 정도로 즐기고 있습니다.

네이버 카페 북미 네버윈터로 오시면 길드에 대한 자세한 내용이 있으니 하고 계시는분 또는 관심있으신분들은 길드 가입 와주세요."
21,109700,2011-08-30,21000.0,6.0,6.0,Indie,0.0,18.0,Strategy,1.0,0.0,0.0,,,single only,65.0,36.0,,,3.8,
22,110400,2011-11-01,10500.0,6.0,6.0,Indie,0.0,37.0,Racing,1.0,0.0,0.0,Very Positive,,single only,127.0,48.0,,,11.7,
23,110500,2011-10-25,0.0,6.0,6.0,Action,0.0,21.0,Action,1.0,0.0,0.0,,,single only,62.0,31.0,,,69.2,"[]

비행선으로 레일을 이리저리 왔다갔다 하며 위험을 피해야 하는 게임
눈만 아프고 가시성은 극악이다

으악 !"
24,110600,2011-09-16,5500.0,6.0,6.0,Action,0.0,8.0,Indie,5.0,0.0,0.0,Mostly Positive,,single only,33.0,28.0,,,56.4,트레이닝 그라운드라 라고 하길래 쉽겠지 하면서 하드했는데 멘ㅋ붕ㅋ 첨엔 조작법이 상당히 헷갈려요....그냥 적과 싸우는 조작어려운 캐주얼게임입니다.
25,110610,2011-10-19,5500.0,6.0,6.0,Action,0.0,13.0,Action,5.0,0.0,0.0,Positive,,single only,52.0,19.0,0.0,6.0,89.9,나만 죽을수 없다 같이 자폭
26,110630,2012-03-22,5500.0,6.0,6.0,Action,0.0,12.0,Indie,5.0,0.0,0.0,Mostly Positive,,single only,33.0,15.0,0.0,7.0,75.1,
27,110800,2011-11-09,22800.0,6.0,1.0,Adventure,0.0,60.0,Detective,6.0,0.0,0.0,Very Positive,Very Positive,single only,23345.0,4057.0,229.2,3541.0,68.4,"굉장히 집중할 수 있는 게임.
게임을 몇 분 안해봤는데도 드라마 보듯이 엄청 몰입해서 봤다.

1. 빡치는 건 안한글. 한글패치하면 됨.
(https://blog.naver.com/PostView.nhn?blogId=kimjaewon2000&logNo=221185747385&proxyReferer=https%3A%2F%2Fwww.google.co.kr%2F)

2. 또 빡치는 건 30프레임 고정. 이건 소프트웨어를 이용해서 락을 풀면 된다고 한다.
(근데 굳이 하고 싶진 않음...)

3. 윈도우즈 10 실행안됨. 이건 레지스트리를 자동 등록 시켜주는 프로그램을 이용하면 된다.


아무튼 게임 굉장히 재밌어서 추천드립니다"
28,111000,2011-08-11,7500.0,6.0,6.0,Indie,0.0,0.0,Casual,10.0,0.0,0.0,,,single only,46.0,37.0,,,,"평가가 복합적이길래 의아했는데, 정가를 보니 비밀이 풀리네.
퍼즐보다는 숨그찾이 압도적으로 많은 비중을 차지한다.
그리고 게임플레이의 아마도 절반 조금 안되게가 컷씬.
+
성우 연기도 괜찮고, 그림도 예쁘고.
숨그찾 씬 자체도 이리저리 스크롤링해가면서 플레이하는 재미가 있다.
-
7500원 하기에는 짧은 (2-3시간) 플레이타임
그럴듯할 것 같으면서 결국은 그렇지 않은 스토리
아직 어리숙한 여자애가 끝없이 남의 뒤처리를 하게되는 그런 느낌이다ㅋ
물론 후속작을 플레이해보면 어떨지 모르겠지만...

정가로 샀다면 누구나 비추를 누를만한 게임이지만,
싸게 샀다면 숨그찾 씬만은 괜찮다. 비록 조금 치사한 면이 없잖아 있긴 해도
여름할인으로 샀기 때문에 그래도 추천 드립니다

추가) 상점 소개의 빅토리안 의상 어쩌고? 나는 옷갈아입히기라도 되는 줄 알았다 ㅠ
뭐, 스팀펑크 분위기는 물씬 납니다"
29,111010,2011-09-24,10500.0,6.0,6.0,Adventure,0.0,0.0,Adventure,8.0,0.0,0.0,,,single only,46.0,27.0,,,,"그럭저럭 괜찮다. 1편하고 별 다를 바는 없지만 스토리는 좀 나아진 듯.
그냥 평범하기 그지없는 숨그찾이지만 그래도 스프로켓은 정말 귀엽다!ㅋㅋㅋ
퍼즐보다는 숨그찾이 메인이며, 1편이 그랬듯 조금 치사한 숨그찾 씬 때문에 평가는 많이 낮아지는 모양이다.
하지만 개인적으로는 평소 하던 것보다 어려워서 더 재밌었다. 치사한 짓거리도 1편보다는 덜하고.
성우 연기도 훌륭하고, 그래픽도 꽤나 예쁘고,
스토리만 좀 더 잘 풀어나갔다면 괜찮았을 것을, 컷씬 퀄리티는 좋은데 내용이 ㅠㅠ
그나마
그리고

여러모로, 스토리가 너무너무 빈약해서 아쉬운 게임. 그것만 제외하면 괜찮은 게임이다. 1편보다 음악도 훨씬 좋았다."
